,Code,Country,1970,1980,1990,2000,2010,2015,2020,2022,Area (km2),Density (2022),GrowthRate,World Population Percentage,Rank
46,HRV,Croatia,4493000000,4680000000,4874000000,4548000000,4369000000,4255000000,4097000000,4030000000,56594,71.2153,0.99,0.05,130
47,CUB,Cuba,8870000000,9809000000,10627000000,11106000000,11290000000,11340000000,11301000000,11212000000,109884,102.0366,1.0,0.14,85
48,CUW,Curacao,150000000,157000000,155000000,141000000,159000000,170000000,189000000,191000000,444,430.5473,1.0,0.0,189
49,CYP,Cyprus,641000000,679000000,789000000,948000000,1130000000,1187000000,1238000000,1251000000,9251,135.2814,1.01,0.02,158
50,CZE,Czech Republic,9796000000,10270000000,10301000000,10235000000,10465000000,10524000000,10531000000,10494000000,78865,133.0627,1.0,0.13,88
51,COD,DR Congo,20152000000,26709000000,35988000000,48616000000,66391000000,78657000000,92853000000,99010000000,2344858,42.2244,1.03,1.24,15
52,DNK,Denmark,4923000000,5125000000,5145000000,5341000000,5551000000,5678000000,5826000000,5882000000,43094,136.4984,1.0,0.07,115
53,DJI,Djibouti,144000000,324000000,577000000,742000000,919000000,1006000000,1090000000,1121000000,23200,48.3125,1.01,0.01,160
54,DMA,Dominica,69000000,73000000,69000000,68000000,69000000,70000000,72000000,73000000,751,96.8535,1.0,0.0,204
55,DOM,Dominican Republic,4476000000,5756000000,7129000000,8541000000,9776000000,10406000000,11000000000,11229000000,48671,230.7087,1.01,0.14,84
56,ECU,Ecuador,6172000000,8136000000,10450000000,12627000000,14990000000,16196000000,17589000000,18001000000,276841,65.0229,1.01,0.23,67
57,EGY,Egypt,34782000000,43749000000,57215000000,71371000000,87252000000,97724000000,107465000000,110990000000,1002450,110.7188,1.02,1.39,14
58,SLV,El Salvador,3619000000,4509000000,5367000000,5958000000,6114000000,6231000000,6293000000,6336000000,21041,301.145,1.0,0.08,112
59,GNQ,Equatorial Guinea,317000000,283000000,466000000,685000000,1095000000,1347000000,1596000000,1675000000,28051,59.7094,1.02,0.02,152
60,ERI,Eritrea,1273000000,1658000000,2150000000,2393000000,3148000000,3340000000,3556000000,3684000000,117600,31.3268,1.02,0.05,132
61,EST,Estonia,1362000000,1477000000,1571000000,1397000000,1332000000,1315000000,1329000000,1326000000,45227,29.3201,1.0,0.02,156
62,SWZ,Eswatini,443000000,599000000,854000000,1030000000,1100000000,1134000000,1181000000,1202000000,17364,69.2047,1.01,0.02,159
63,ETH,Ethiopia,28308000000,34945000000,47878000000,67032000000,89238000000,102472000000,117191000000,123380000000,1104300,111.7268,1.03,1.55,12
64,FLK,Falkland Islands,2000000,2000000,2000000,3000000,3000000,3000000,4000000,4000000,12173,0.3105,1.0,0.0,231
65,FRO,Faroe Islands,38000000,43000000,47000000,46000000,48000000,49000000,52000000,53000000,1393,38.112,1.0,0.0,209
66,FJI,Fiji,528000000,645000000,780000000,833000000,905000000,917000000,920000000,930000000,18272,50.8847,1.01,0.01,162
67,FIN,Finland,4607000000,4779000000,4987000000,5176000000,5363000000,5479000000,5529000000,5541000000,338424,16.3722,1.0,0.07,118
68,FRA,France,50524000000,53714000000,56413000000,58665000000,62445000000,63810000000,64480000000,64627000000,551695,117.1419,1.0,0.81,23
69,GUF,French Guiana,46000000,67000000,114000000,164000000,228000000,257000000,291000000,305000000,83534,3.6459,1.02,0.0,184
70,PYF,French Polynesia,118000000,164000000,211000000,251000000,284000000,292000000,302000000,306000000,4167,73.5011,1.01,0.0,183
71,GAB,Gabon,597000000,749000000,983000000,1273000000,1711000000,2029000000,2293000000,2389000000,267668,8.9252,1.02,0.03,146
72,GMB,Gambia,529000000,719000000,1041000000,1438000000,1937000000,2253000000,2574000000,2706000000,10689,253.1567,1.03,0.03,142
73,GEO,Georgia,4800000000,5146000000,5392000000,4265000000,3837000000,3771000000,3766000000,3744000000,69700,53.7214,1.0,0.05,131
74,DEU,Germany,78295000000,77787000000,79370000000,81552000000,81325000000,82073000000,83329000000,83370000000,357114,233.4544,1.0,1.05,19
75,GHA,Ghana,8862000000,11865000000,15447000000,19666000000,25575000000,28871000000,32180000000,33476000000,238533,140.3406,1.02,0.42,47
76,GIB,Gibraltar,27000000,29000000,27000000,28000000,31000000,33000000,33000000,33000000,6,5441.5,1.0,0.0,219
77,GRC,Greece,8545000000,9307000000,10302000000,11038000000,11034000000,10807000000,10512000000,10385000000,131990,78.68,0.99,0.13,90
78,GRL,Greenland,45000000,50000000,56000000,56000000,56000000,56000000,56000000,56000000,2166086,0.0261,1.0,0.0,208
79,GRD,Grenada,99000000,95000000,99000000,107000000,114000000,119000000,124000000,125000000,344,364.6453,1.01,0.0,193
80,GLP,Guadeloupe,318000000,334000000,392000000,424000000,403000000,399000000,396000000,396000000,1628,243.0909,1.0,0.0,178
81,GUM,Guam,88000000,110000000,138000000,160000000,165000000,168000000,169000000,172000000,549,312.8852,1.01,0.0,191
82,GTM,Guatemala,5453000000,6988000000,9085000000,11736000000,14543000000,16001000000,17363000000,17844000000,108889,163.8725,1.01,0.22,68
83,GGY,Guernsey,53000000,53000000,58000000,59000000,61000000,62000000,63000000,63000000,78,811.5513,1.0,0.0,207
84,GIN,Guinea,4222000000,4973000000,6354000000,8337000000,10271000000,11626000000,13205000000,13859000000,245857,56.3716,1.02,0.17,75
85,GNB,Guinea-Bissau,592000000,831000000,974000000,1231000000,1567000000,1789000000,2016000000,2106000000,36125,58.2856,1.02,0.03,149
86,GUY,Guyana,705000000,778000000,747000000,759000000,748000000,755000000,797000000,809000000,214969,3.7621,1.01,0.01,164
87,HTI,Haiti,4681000000,5647000000,6925000000,8360000000,9843000000,10564000000,11307000000,11585000000,27750,417.4773,1.01,0.15,82
88,HND,Honduras,2783000000,3778000000,5053000000,6657000000,8451000000,9295000000,10122000000,10433000000,112492,92.7431,1.02,0.13,89
