,Code,Country,1970,1980,1990,2000,2010,2015,2020,2022,Area (km2),Density (2022),GrowthRate,World Population Percentage,Rank
201,CHE,Switzerland,6181000000,6319000000,6712000000,7182000000,7822000000,8282000000,8639000000,8740000000,41284,211.7157,1.01,0.11,101
202,SYR,Syria,6319000000,8899000000,12409000000,16308000000,22338000000,19205000000,20773000000,22125000000,185180,119.4797,1.04,0.28,60
203,TWN,Taiwan,14958000000,18100000000,20586000000,22195000000,23083000000,23512000000,23821000000,23893000000,36193,660.1662,1.0,0.3,57
204,TJK,Tajikistan,2993000000,4046000000,5418000000,6273000000,7622000000,8524000000,9543000000,9953000000,143100,69.5513,1.02,0.12,95
205,TZA,Tanzania,13618000000,19298000000,26206000000,34464000000,45111000000,52543000000,61705000000,65498000000,945087,69.3034,1.03,0.82,22
206,THA,Thailand,35792000000,45738000000,55228000000,63067000000,68270000000,70294000000,71476000000,71697000000,513120,139.7276,1.0,0.9,20
207,TLS,Timor-Leste,554000000,642000000,758000000,878000000,1088000000,1206000000,1300000000,1341000000,14874,90.1772,1.02,0.02,155
208,TGO,Togo,2197000000,2838000000,3876000000,5008000000,6572000000,7473000000,8443000000,8849000000,56785,155.8281,1.02,0.11,100
209,TKL,Tokelau,2000000,2000000,2000000,2000000,1000000,1000000,2000000,2000000,12,155.9167,1.01,0.0,233
210,TON,Tonga,86000000,97000000,99000000,103000000,107000000,106000000,105000000,107000000,747,143.0495,1.01,0.0,197
211,TTO,Trinidad and Tobago,989000000,1128000000,1267000000,1332000000,1410000000,1460000000,1518000000,1531000000,5130,298.4491,1.0,0.02,153
212,TUN,Tunisia,5047000000,6578000000,8440000000,9893000000,10895000000,11558000000,12162000000,12356000000,163610,75.5218,1.01,0.15,79
213,TUR,Turkey,35541000000,44089000000,54324000000,64114000000,73195000000,79646000000,84135000000,85341000000,783562,108.9145,1.01,1.07,18
214,TKM,Turkmenistan,2201000000,2863000000,3720000000,4569000000,5268000000,5766000000,6250000000,6431000000,488100,13.1751,1.01,0.08,111
215,TCA,Turks and Caicos Islands,6000000,8000000,12000000,19000000,30000000,37000000,44000000,46000000,948,48.2099,1.01,0.0,212
216,TUV,Tuvalu,6000000,8000000,9000000,10000000,11000000,11000000,11000000,11000000,26,435.0769,1.01,0.0,227
217,UGA,Uganda,10317000000,13284000000,17587000000,24021000000,32342000000,37477000000,44405000000,47250000000,241550,195.61,1.03,0.59,31
218,UKR,Ukraine,47279000000,49974000000,51590000000,48880000000,45683000000,44983000000,43910000000,39702000000,603500,65.7858,0.91,0.5,38
219,ARE,United Arab Emirates,298000000,1014000000,1900000000,3275000000,8482000000,8917000000,9287000000,9441000000,83600,112.9322,1.01,0.12,97
220,GBR,United Kingdom,55650000000,56326000000,57210000000,58850000000,62760000000,65224000000,67059000000,67509000000,242900,277.9289,1.0,0.85,21
221,USA,United States,200328000000,223140000000,248084000000,282399000000,311183000000,324608000000,335942000000,338290000000,9372610,36.0935,1.0,4.24,3
222,VIR,United States Virgin Islands,63000000,97000000,101000000,108000000,106000000,103000000,100000000,99000000,347,286.6427,0.99,0.0,200
223,URY,Uruguay,2790000000,2954000000,3117000000,3292000000,3353000000,3403000000,3429000000,3423000000,181034,18.9069,1.0,0.04,133
224,UZB,Uzbekistan,12011000000,15947000000,20579000000,24926000000,28614000000,30949000000,33527000000,34628000000,447400,77.3975,1.02,0.43,43
225,VUT,Vanuatu,87000000,118000000,151000000,192000000,245000000,276000000,312000000,327000000,12189,26.8061,1.02,0.0,181
226,VAT,Vatican City,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1,510.0,1.0,0.0,234
227,VEN,Venezuela,11355000000,15210000000,19751000000,24428000000,28715000000,30530000000,28490000000,28302000000,916445,30.882,1.0,0.35,51
228,VNM,Vietnam,41929000000,52968000000,66913000000,79001000000,87411000000,92191000000,96649000000,98187000000,331212,296.4472,1.01,1.23,16
229,WLF,Wallis and Futuna,9000000,11000000,13000000,15000000,13000000,12000000,12000000,12000000,142,81.493,1.0,0.0,226
230,ESH,Western Sahara,76000000,117000000,179000000,270000000,413000000,492000000,556000000,576000000,266000,2.1654,1.02,0.01,172
231,YEM,Yemen,6844000000,9205000000,13375000000,18629000000,24744000000,28517000000,32284000000,33697000000,527968,63.8232,1.02,0.42,46
232,ZMB,Zambia,4282000000,5720000000,7686000000,9891000000,13792000000,16248000000,18928000000,20018000000,752612,26.5976,1.03,0.25,63
233,ZWE,Zimbabwe,5203000000,7050000000,10114000000,11835000000,12840000000,14155000000,15670000000,16321000000,390757,41.7665,1.02,0.2,74
